即時值查詢
資料時間：2024/05/27~2026/05/27
"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
花蓮,2024/05/27,PM2.5,7,6,11,8,7,6,8,11,8,5,6,7,8,8,10,8,7,5,11,9,10,12,8,9
花蓮,2024/05/28,PM2.5,7,12,9,9,9,8,5,12,11,12,8,8,11,10,13,14,14,12,12,11,11,12,15,13
花蓮,2024/05/29,PM2.5,10,13,15,9,13,19,14,10,10,8,11,15,11,15,8,13,13,16,14,15,13,13,17,11
花蓮,2024/05/30,PM2.5,13,7,10,9,11,10,12,17,11,10,7,4,5,10,9,5,7,11,9,8,12,10,7,4
花蓮,2024/05/31,PM2.5,7,6,4,4,4,5,4,8,6,#,1,6,3,0,4,4,7,11,9,19,8,11,12,6
花蓮,2024/06/01,PM2.5,6,6,3,12,7,7,6,5,5,7,5,0,6,6,2,1,2,2,1,0,2,2,3,0
花蓮,2024/06/02,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,1,2,2,3,2,0
花蓮,2024/06/03,PM2.5,0,0,0,0,0,2,2,3,3,2,3,3,3,6,5,3,5,10,9,8,6,12,8,7
花蓮,2024/06/04,PM2.5,10,7,5,4,4,4,5,6,5,8,#,4,7,9,9,6,3,4,8,10,10,15,12,12
花蓮,2024/06/05,PM2.5,10,12,11,11,14,13,8,10,13,12,10,8,15,14,13,16,17,16,16,17,14,15,17,12
花蓮,2024/06/06,PM2.5,16,16,21,16,14,16,12,21,18,14,#,11,19,15,13,14,13,16,15,17,11,8,7,5
花蓮,2024/06/07,PM2.5,3,1,2,2,1,2,4,4,9,6,2,1,1,2,4,3,7,5,5,6,4,3,4,4
花蓮,2024/06/08,PM2.5,2,2,0,0,0,2,1,3,4,8,5,1,1,1,2,4,4,6,9,10,9,8,10,5
花蓮,2024/06/09,PM2.5,6,8,5,6,6,6,9,7,5,5,8,6,7,8,6,8,8,8,6,8,5,0,3,1
花蓮,2024/06/10,PM2.5,1,1,3,7,7,7,6,6,3,4,6,3,1,2,2,1,1,3,5,4,6,6,5,6
花蓮,2024/06/11,PM2.5,6,4,3,6,6,5,3,3,4,4,4,#,#,4,6,3,5,4,7,6,5,8,8,6
花蓮,2024/06/12,PM2.5,4,4,6,6,5,9,7,6,4,2,3,5,4,4,3,3,5,7,5,6,10,11,6,9
花蓮,2024/06/13,PM2.5,6,11,7,6,5,5,6,4,3,5,9,8,5,4,6,8,5,12,10,8,6,12,10,12
花蓮,2024/06/14,PM2.5,11,12,12,8,9,10,7,5,9,9,10,8,7,4,5,9,11,9,9,12,15,9,8,5
花蓮,2024/06/15,PM2.5,8,8,7,4,2,9,6,3,4,11,7,5,5,5,8,8,7,8,9,10,11,11,9,9
花蓮,2024/06/16,PM2.5,7,6,6,8,10,7,5,6,7,8,8,5,5,6,10,7,11,7,7,6,3,6,9,9
